property_name,apartment_code,bed_code,bed_type,toilet_type,monthly_rate,gender_allowed,status
Vista Heights,A11,A1,Single,Common,19500.0,male,Occupied
Vista Heights,A11,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,A11,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,A11,B1,Double,Common,14500.0,male,Occupied
Vista Heights,A11,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,A11,B2,Double,Common,14500.0,male,Occupied
Vista Heights,A11,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,A11,C1,Double,Common,14500.0,male,Occupied
Vista Heights,A11,C2,Double,Common,14500.0,male,Occupied
Vista Heights,A11,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,A12,A1,Single,Common,19500.0,female,Occupied
Vista Heights,A12,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,A12,B1,Double,Common,14500.0,female,Occupied
Vista Heights,A12,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,A12,B2,Double,Common,14500.0,female,Occupied
Vista Heights,A12,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,A12,C1,Double,Common,14500.0,female,Occupied
Vista Heights,A12,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,A12,C2,Double,Common,14500.0,female,Occupied
Vista Heights,A12,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,A22,A1,Single,Common,19500.0,male,Vacant
Vista Heights,A22,A1,Single,Attached,25500.0,male,Vacant
Vista Heights,A22,B1,Double,Attached,15500.0,male,Vacant
Vista Heights,A22,B1,Double,Common,14500.0,male,Vacant
Vista Heights,A22,B2,Double,Attached,15500.0,male,Vacant
Vista Heights,A22,B2,Double,Common,14500.0,male,Vacant
Vista Heights,A22,C1,Double,Common,14500.0,male,Vacant
Vista Heights,A22,C1,Double,Attached,15500.0,male,Vacant
Vista Heights,A22,C2,Double,Attached,15500.0,male,Vacant
Vista Heights,A22,C2,Double,Common,14500.0,male,Vacant
Vista Heights,A23,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,A23,A1,Single,Common,19500.0,male,Occupied
Vista Heights,A23,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,A23,B1,Double,Common,14500.0,male,Occupied
Vista Heights,A23,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,A23,B2,Double,Common,14500.0,male,Occupied
Vista Heights,A23,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,A23,C1,Double,Common,14500.0,male,Occupied
Vista Heights,A23,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,A23,C2,Double,Common,14500.0,male,Occupied
Vista Heights,A24,A1,Single,Common,19500.0,male,Occupied
Vista Heights,A24,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,A24,B1,Triple,Attached,13500.0,male,Occupied
Vista Heights,A24,B2,Triple,Attached,13500.0,male,Occupied
Vista Heights,A24,B3,Triple,Attached,13500.0,male,Occupied
Vista Heights,A24,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,A24,C1,Double,Common,14500.0,male,Occupied
Vista Heights,A24,C2,Double,Common,14500.0,male,Occupied
Vista Heights,A24,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,A41,A1,Single,Common,19500.0,male,Occupied
Vista Heights,A41,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,A41,B1,Triple,Attached,13500.0,male,Occupied
Vista Heights,A41,B2,Triple,Attached,13500.0,male,Occupied
Vista Heights,A41,B3,Triple,Attached,13500.0,male,Occupied
Vista Heights,A41,C1,Double,Common,14500.0,male,Occupied
Vista Heights,A41,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,A41,C2,Double,Common,14500.0,male,Occupied
Vista Heights,A41,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,A41,D1,Double,Common,14500.0,male,Occupied
Vista Heights,A41,D1,Double,Attached,15500.0,male,Occupied
Vista Heights,A41,D2,Double,Attached,15500.0,male,Occupied
Vista Heights,A41,D2,Double,Common,14500.0,male,Occupied
Vista Heights,A44,A1,Single,Common,19500.0,male,Occupied
Vista Heights,A44,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,A44,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,A44,B1,Double,Common,14500.0,male,Occupied
Vista Heights,A44,B2,Double,Common,14500.0,male,Occupied
Vista Heights,A44,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,A44,C1,Double,Common,14500.0,male,Occupied
Vista Heights,A44,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,A44,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,A44,C2,Double,Common,14500.0,male,Occupied
Vista Heights,A44,D1,Single,Attached,25500.0,male,Occupied
Vista Heights,A44,D1,Single,Common,19500.0,male,Occupied
Vista Heights,B11,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,B11,A1,Single,Common,19500.0,male,Occupied
Vista Heights,B11,B1,Double,Common,14500.0,male,Occupied
Vista Heights,B11,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,B11,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,B11,B2,Double,Common,14500.0,male,Occupied
Vista Heights,B11,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,B11,C1,Double,Common,14500.0,male,Occupied
Vista Heights,B11,C2,Double,Common,14500.0,male,Occupied
Vista Heights,B11,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,B11,D1,Single,Common,19500.0,male,Occupied
Vista Heights,B11,D1,Single,Attached,25500.0,male,Occupied
Vista Heights,B12,A1,Single,Common,19500.0,female,Occupied
Vista Heights,B12,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,B12,B1,Double,Common,14500.0,female,Occupied
Vista Heights,B12,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,B12,B2,Double,Common,14500.0,female,Occupied
Vista Heights,B12,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,B12,C1,Double,Common,14500.0,female,Occupied
Vista Heights,B12,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,B12,C2,Double,Common,14500.0,female,Occupied
Vista Heights,B12,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,B13,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,B13,A1,Single,Common,19500.0,male,Occupied
Vista Heights,B13,B1,Double,Common,14500.0,male,Occupied
Vista Heights,B13,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,B13,B2,Double,Attached,15500.0,male,Vacant
Vista Heights,B13,B2,Double,Common,14500.0,male,Vacant
Vista Heights,B13,C1,Double,Common,14500.0,male,Occupied
Vista Heights,B13,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,B13,C2,Double,Common,14500.0,male,Occupied
Vista Heights,B13,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,B14,A1,Single,Common,19500.0,male,Occupied
Vista Heights,B14,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,B14,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,B14,B1,Double,Common,14500.0,male,Occupied
Vista Heights,B14,B2,Double,Common,14500.0,male,Occupied
Vista Heights,B14,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,B14,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,B14,C1,Double,Common,14500.0,male,Occupied
Vista Heights,B14,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,B14,C2,Double,Common,14500.0,male,Occupied
Vista Heights,B22,A1,Single,Common,19500.0,female,Occupied
Vista Heights,B22,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,B22,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,B22,B1,Double,Common,14500.0,female,Occupied
Vista Heights,B22,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,B22,B2,Double,Common,14500.0,female,Occupied
Vista Heights,B22,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,B22,C1,Double,Common,14500.0,female,Occupied
Vista Heights,B22,C2,Double,Common,14500.0,female,Occupied
Vista Heights,B22,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,B24,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,B24,A1,Single,Common,19500.0,female,Occupied
Vista Heights,B24,B1,Triple,Attached,13500.0,female,Occupied
Vista Heights,B24,B2,Triple,Attached,13500.0,female,Occupied
Vista Heights,B24,B3,Triple,Attached,13500.0,female,Occupied
Vista Heights,B24,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,B24,C1,Double,Common,14500.0,female,Occupied
Vista Heights,B24,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,B24,C2,Double,Common,14500.0,female,Occupied
Vista Heights,B31,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,B31,B1,Double,Common,14500.0,male,Occupied
Vista Heights,B31,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,B31,B2,Double,Common,14500.0,male,Occupied
Vista Heights,B31,C1,Double,Common,14500.0,male,Occupied
Vista Heights,B31,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,B31,C2,Double,Common,14500.0,male,Occupied
Vista Heights,B31,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,B32,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,B32,A1,Single,Common,19500.0,male,Occupied
Vista Heights,B32,B1,Double,Common,14500.0,male,Occupied
Vista Heights,B32,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,B32,B2,Double,Common,14500.0,male,Occupied
Vista Heights,B32,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,B32,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,B32,C1,Double,Common,14500.0,male,Occupied
Vista Heights,B32,C2,Double,Common,14500.0,male,Occupied
Vista Heights,B32,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,B33,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,B33,A1,Single,Common,19500.0,male,Occupied
Vista Heights,B33,B1,Double,Common,14500.0,male,Occupied
Vista Heights,B33,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,B33,B2,Double,Common,14500.0,male,Occupied
Vista Heights,B33,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,B33,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,B33,C1,Double,Common,14500.0,male,Occupied
Vista Heights,B33,C2,Double,Attached,15500.0,male,Vacant
Vista Heights,B33,C2,Double,Common,14500.0,male,Vacant
Vista Heights,B34,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,B34,A1,Single,Common,19500.0,male,Occupied
Vista Heights,B34,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,B34,B1,Double,Common,14500.0,male,Occupied
Vista Heights,B34,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,B34,B2,Double,Common,14500.0,male,Occupied
Vista Heights,B34,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,B34,C1,Double,Common,14500.0,male,Occupied
Vista Heights,B34,C2,Double,Common,14500.0,male,Occupied
Vista Heights,B34,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,B41,A1,Single,Common,19500.0,male,Occupied
Vista Heights,B41,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,B41,B1,Double,Common,14500.0,male,Occupied
Vista Heights,B41,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,B41,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,B41,B2,Double,Common,14500.0,male,Occupied
Vista Heights,B41,C1,Double,Common,14500.0,male,Occupied
Vista Heights,B41,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,B41,C2,Double,Common,14500.0,male,Occupied
Vista Heights,B41,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,B41,D1,Single,Common,19500.0,male,Occupied
Vista Heights,B41,D1,Single,Attached,25500.0,male,Occupied
Vista Heights,B42,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,B42,A1,Single,Common,19500.0,male,Occupied
Vista Heights,B42,B1,Double,Common,14500.0,male,Occupied
Vista Heights,B42,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,B42,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,B42,B2,Double,Common,14500.0,male,Occupied
Vista Heights,B42,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,B42,C1,Double,Common,14500.0,male,Occupied
Vista Heights,B42,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,B42,C2,Double,Common,14500.0,male,Occupied
Vista Heights,B43,A1,Single,Common,19500.0,female,Occupied
Vista Heights,B43,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,B43,B1,Double,Common,14500.0,female,Occupied
Vista Heights,B43,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,B43,B2,Double,Common,14500.0,female,Vacant
Vista Heights,B43,B2,Double,Attached,15500.0,female,Vacant
Vista Heights,B43,C1,Double,Common,14500.0,female,Occupied
Vista Heights,B43,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,B43,C2,Double,Common,14500.0,female,Occupied
Vista Heights,B43,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,B44,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,B44,A1,Single,Common,19500.0,female,Occupied
Vista Heights,B44,B1,Triple,Attached,13500.0,female,Occupied
Vista Heights,B44,B2,Triple,Attached,13500.0,female,Occupied
Vista Heights,B44,B3,Triple,Attached,13500.0,female,Occupied
Vista Heights,B44,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,B44,C1,Double,Common,14500.0,female,Occupied
Vista Heights,B44,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,B44,C2,Double,Common,14500.0,female,Occupied
Vista Heights,C11,A1,Single,Common,19500.0,male,Occupied
Vista Heights,C11,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,C11,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,C11,B1,Double,Common,14500.0,male,Occupied
Vista Heights,C11,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,C11,B2,Double,Common,14500.0,male,Occupied
Vista Heights,C11,C1,Double,Common,14500.0,male,Occupied
Vista Heights,C11,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,C11,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,C11,C2,Double,Common,14500.0,male,Occupied
Vista Heights,C12,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,C12,A1,Single,Common,19500.0,female,Occupied
Vista Heights,C12,B1,Double,Common,14500.0,female,Occupied
Vista Heights,C12,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,C12,B2,Double,Common,14500.0,female,Occupied
Vista Heights,C12,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,C12,C1,Triple,Attached,13500.0,female,Occupied
Vista Heights,C12,C2,Triple,Attached,13500.0,female,Occupied
Vista Heights,C12,C3,Triple,Attached,13500.0,female,Occupied
Vista Heights,C12,D1,Double,Common,14500.0,female,Vacant
Vista Heights,C12,D1,Double,Attached,15500.0,female,Vacant
Vista Heights,C12,D2,Double,Common,14500.0,female,Vacant
Vista Heights,C12,D2,Double,Attached,15500.0,female,Vacant
Vista Heights,C21,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,C21,A1,Single,Common,19500.0,male,Occupied
Vista Heights,C21,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,C21,B1,Double,Common,14500.0,male,Occupied
Vista Heights,C21,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,C21,B2,Double,Common,14500.0,male,Occupied
Vista Heights,C21,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,C21,C1,Double,Common,14500.0,male,Occupied
Vista Heights,C21,C2,Double,Common,14500.0,male,Occupied
Vista Heights,C21,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,C21,D1,Single,Attached,25500.0,male,Occupied
Vista Heights,C21,D1,Single,Common,19500.0,male,Occupied
Vista Heights,C24,B1,Triple,Attached,13500.0,female,Occupied
Vista Heights,C24,B2,Triple,Attached,13500.0,female,Occupied
Vista Heights,C24,B3,Triple,Attached,13500.0,female,Occupied
Vista Heights,C24,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,C24,C1,Double,Common,14500.0,female,Occupied
Vista Heights,C24,C2,Double,Common,14500.0,female,Occupied
Vista Heights,C24,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,C31,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,C31,A1,Single,Common,19500.0,male,Occupied
Vista Heights,C31,B1,Double,Common,14500.0,male,Occupied
Vista Heights,C31,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,C31,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,C31,B2,Double,Common,14500.0,male,Occupied
Vista Heights,C31,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,C31,C1,Double,Common,14500.0,male,Occupied
Vista Heights,C31,C2,Double,Common,14500.0,male,Occupied
Vista Heights,C31,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,C31,D1,Single,Common,19500.0,male,Occupied
Vista Heights,C31,D1,Single,Attached,25500.0,male,Occupied
Vista Heights,C34,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,C34,A1,Single,Common,19500.0,female,Occupied
Vista Heights,C34,B1,Double,Common,14500.0,female,Occupied
Vista Heights,C34,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,C34,B2,Double,Common,14500.0,female,Occupied
Vista Heights,C34,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,C34,C1,Double,Common,14500.0,female,Vacant
Vista Heights,C34,C1,Double,Attached,15500.0,female,Vacant
Vista Heights,C34,C2,Double,Common,14500.0,female,Occupied
Vista Heights,C34,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,C41,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,C41,A1,Single,Common,19500.0,male,Occupied
Vista Heights,C41,B1,Double,Common,14500.0,male,Occupied
Vista Heights,C41,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,C41,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,C41,B2,Double,Common,14500.0,male,Occupied
Vista Heights,C41,C1,Double,Common,14500.0,male,Occupied
Vista Heights,C41,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,C41,C2,Double,Common,14500.0,male,Occupied
Vista Heights,C41,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,C41,D1,Single,Attached,25500.0,male,Occupied
Vista Heights,C41,D1,Single,Common,19500.0,male,Occupied
Vista Heights,C42,A1,Single,Common,19500.0,female,Occupied
Vista Heights,C42,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,C42,B1,Double,Common,14500.0,female,Occupied
Vista Heights,C42,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,C42,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,C42,B2,Double,Common,14500.0,female,Occupied
Vista Heights,C42,C1,Double,Common,14500.0,female,Occupied
Vista Heights,C42,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,C42,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,C42,C2,Double,Common,14500.0,female,Occupied
Vista Heights,C43,A1,Single,Common,19500.0,female,Occupied
Vista Heights,C43,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,C43,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,C43,B1,Double,Common,14500.0,female,Occupied
Vista Heights,C43,B2,Double,Common,14500.0,female,Occupied
Vista Heights,C43,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,C43,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,C43,C1,Double,Common,14500.0,female,Occupied
Vista Heights,C43,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,C43,C2,Double,Common,14500.0,female,Occupied
Vista Heights,C44,A1,Single,Common,19500.0,male,Occupied
Vista Heights,C44,A1,Single,Attached,25500.0,male,Occupied
Vista Heights,C44,B1,Double,Attached,15500.0,male,Occupied
Vista Heights,C44,B1,Double,Common,14500.0,male,Occupied
Vista Heights,C44,B2,Double,Attached,15500.0,male,Occupied
Vista Heights,C44,B2,Double,Common,14500.0,male,Occupied
Vista Heights,C44,C1,Double,Attached,15500.0,male,Occupied
Vista Heights,C44,C1,Double,Common,14500.0,male,Occupied
Vista Heights,C44,C2,Double,Common,14500.0,male,Occupied
Vista Heights,C44,C2,Double,Attached,15500.0,male,Occupied
Vista Heights,D11,B1,Single,Attached,25500.0,female,Occupied
Vista Heights,D11,B1,Single,Common,19500.0,female,Occupied
Vista Heights,D11,C1,Double,Common,14500.0,female,Occupied
Vista Heights,D11,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,D11,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,D11,C2,Double,Common,14500.0,female,Occupied
Vista Heights,D11,D1,Triple,Attached,13500.0,female,Occupied
Vista Heights,D11,D2,Triple,Attached,13500.0,female,Occupied
Vista Heights,D11,D3,Triple,Attached,13500.0,female,Occupied
Vista Heights,D12,A1,Single,Common,19500.0,female,Occupied
Vista Heights,D12,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,D12,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,D12,B1,Double,Common,14500.0,female,Occupied
Vista Heights,D12,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,D12,B2,Double,Common,14500.0,female,Occupied
Vista Heights,D12,C1,Double,Common,14500.0,female,Occupied
Vista Heights,D12,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,D12,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,D12,C2,Double,Common,14500.0,female,Occupied
Vista Heights,D15,A1,Executive,Attached,25500.0,male,Occupied
Vista Heights,D21,A1,Single,Common,19500.0,female,Occupied
Vista Heights,D21,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,D21,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,D21,B1,Double,Common,14500.0,female,Occupied
Vista Heights,D21,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,D21,B2,Double,Common,14500.0,female,Occupied
Vista Heights,D21,C1,Triple,Attached,13500.0,female,Occupied
Vista Heights,D21,C2,Triple,Attached,13500.0,female,Occupied
Vista Heights,D21,C3,Triple,Attached,13500.0,female,Occupied
Vista Heights,D41,A1,Single,Common,19500.0,female,Occupied
Vista Heights,D41,A1,Single,Attached,25500.0,female,Occupied
Vista Heights,D41,B1,Double,Common,14500.0,female,Occupied
Vista Heights,D41,B1,Double,Attached,15500.0,female,Occupied
Vista Heights,D41,B2,Double,Attached,15500.0,female,Occupied
Vista Heights,D41,B2,Double,Common,14500.0,female,Occupied
Vista Heights,D41,C1,Double,Common,14500.0,female,Occupied
Vista Heights,D41,C1,Double,Attached,15500.0,female,Occupied
Vista Heights,D41,C2,Double,Attached,15500.0,female,Occupied
Vista Heights,D41,C2,Double,Common,14500.0,female,Occupied
