property,apartment_code,gender_allowed,bed_code,bed_type,toilet_type,bed_status,bed_lifecycle_status,current_rate,is_occupied,on_notice,is_vacant
Vista Heights,A11,male,A1,Single,Common,Live,notice,19500.0,0,1,0
Vista Heights,A11,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A11,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A11,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A11,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A12,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,A12,female,B1,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,A12,female,B2,Double,Attached,Live,vacant,15500.0,0,0,1
Vista Heights,A12,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A12,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A22,male,A1,Single,Common,Not-Active,vacant,19500.0,0,0,1
Vista Heights,A22,male,B1,Double,Attached,Not-Active,vacant,15500.0,0,0,1
Vista Heights,A22,male,B2,Double,Attached,Not-Active,vacant,15500.0,0,0,1
Vista Heights,A22,male,C1,Double,Common,Not-Active,notice,15500.0,0,1,0
Vista Heights,A22,male,C2,Double,Common,Not-Active,vacant,15500.0,0,0,1
Vista Heights,A23,male,A1,Single,Common,Live,notice,19500.0,0,1,0
Vista Heights,A23,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A23,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A23,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A23,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A24,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,A24,male,B1,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A24,male,B2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A24,male,B3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A24,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A24,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A41,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,A41,male,B1,Triple,Attached,Live,notice,13500.0,0,1,0
Vista Heights,A41,male,B2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A41,male,B3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,A41,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A41,male,C2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,A41,male,D1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A41,male,D2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A44,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,A44,male,B1,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,A44,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,A44,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,A44,male,C2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,A44,male,D1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,B11,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B11,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B11,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B11,male,C1,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,B11,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B11,male,D1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,B12,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B12,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B12,female,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,B12,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B12,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B13,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B13,male,B1,Double,Attached,Live,vacant,15500.0,0,0,1
Vista Heights,B13,male,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,B13,male,C1,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,B13,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B14,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B14,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B14,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B14,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B14,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B22,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B22,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B22,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B22,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B22,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B24,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B24,female,B1,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,B24,female,B2,Triple,Attached,Live,notice,13500.0,0,1,0
Vista Heights,B24,female,B3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,B24,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B24,female,C2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,B31,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B31,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B31,male,C1,Double,Attached,Live,vacant,15500.0,0,0,1
Vista Heights,B31,male,C2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B32,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B32,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B32,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B32,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B32,male,C2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,B33,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B33,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B33,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B33,male,C1,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,B33,male,C2,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,B34,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B34,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B34,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B34,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B34,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B41,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B41,male,B1,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,B41,male,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,B41,male,C1,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,B41,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B41,male,D1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,B42,male,A1,Single,Common,Live,vacant,19500.0,0,0,1
Vista Heights,B42,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B42,male,B2,Double,Attached,Live,booked,15500.0,0,0,0
Vista Heights,B42,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B42,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B43,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B43,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,B43,female,B2,Double,Attached,Live,vacant,15500.0,0,0,1
Vista Heights,B43,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B43,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B44,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,B44,female,B1,Triple,Attached,Live,notice,13500.0,0,1,0
Vista Heights,B44,female,B2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,B44,female,B3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,B44,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,B44,female,C2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,C11,male,A1,Single,Common,Live,vacant,19500.0,0,0,1
Vista Heights,C11,male,B1,Double,Attached,Live,vacant,15500.0,0,0,1
Vista Heights,C11,male,B2,Double,Attached,Live,vacant,15500.0,0,0,1
Vista Heights,C11,male,C1,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,C11,male,C2,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,C12,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,C12,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C12,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C12,female,C1,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,C12,female,C2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,C12,female,C3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,C12,female,D1,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,C12,female,D2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,C21,male,A1,Single,Common,Live,notice,19500.0,0,1,0
Vista Heights,C21,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C21,male,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,C21,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C21,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C21,male,D1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,C24,female,B1,Triple,Attached,Live,vacant,13500.0,0,0,1
Vista Heights,C24,female,B2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,C24,female,B3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,C24,female,C1,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,C24,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C31,male,A1,Single,Common,Live,notice,19500.0,0,1,0
Vista Heights,C31,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C31,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C31,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C31,male,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C31,male,D1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,C34,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,C34,female,B1,Double,Attached,Live,vacant,15500.0,0,0,1
Vista Heights,C34,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C34,female,C1,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,C34,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C41,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,C41,male,B1,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,C41,male,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,C41,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C41,male,C2,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,C41,male,D1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,C42,female,A1,Single,Common,Live,booked,19500.0,0,0,0
Vista Heights,C42,female,B1,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,C42,female,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,C42,female,C1,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,C42,female,C2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,C43,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,C43,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C43,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C43,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C43,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C44,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,C44,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C44,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C44,male,C1,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,C44,male,C2,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,D11,female,B1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,D11,female,C1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D11,female,C2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D11,female,D1,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D11,female,D2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D11,female,D3,Triple,Attached,Live,vacant,13500.0,0,0,1
Vista Heights,D12,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,D12,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D12,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D12,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,D12,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,D15,male,A1,Executive,Attached,Live,occupied,25500.0,1,0,0
Vista Heights,D21,female,A1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,D21,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D21,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D21,female,C1,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D21,female,C2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D21,female,C3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D41,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,D41,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D41,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D41,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,D41,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
