apartment_code,billing_period,amount_forecast,units_forecast,amount_method,amount_mape
A11,2026-07,7601.8,661.0,holt_winters,21.33
A11,2026-08,9308.4,808.9,holt_winters,21.33
A11,2026-09,10545.8,916.6,holt_winters,21.33
A11,2026-10,9431.8,820.1,holt_winters,21.33
A11,2026-11,9754.4,847.6,holt_winters,21.33
A11,2026-12,10077.2,875.3,holt_winters,21.33
A12,2026-07,7603.1,661.9,holt_winters,25.48
A12,2026-08,10654.0,928.0,holt_winters,25.48
A12,2026-09,10399.0,906.7,holt_winters,25.48
A12,2026-10,9748.5,850.7,holt_winters,25.48
A12,2026-11,10207.6,891.5,holt_winters,25.48
A12,2026-12,10666.6,932.3,holt_winters,25.48
A22,2026-07,3439.3,299.8,holt_winters,21.49
A22,2026-08,11142.2,970.0,holt_winters,21.49
A22,2026-09,6401.5,558.1,holt_winters,21.49
A22,2026-10,4927.0,429.2,holt_winters,21.49
A22,2026-11,4948.0,431.4,holt_winters,21.49
A22,2026-12,5085.9,444.2,holt_winters,21.49
A23,2026-07,10271.8,953.5,seasonal_naive,16.19
A23,2026-08,9111.5,1041.6,seasonal_naive,16.19
A23,2026-09,7544.0,968.4,seasonal_naive,16.19
A23,2026-10,6900.0,1007.7,seasonal_naive,16.19
A23,2026-11,8401.9,790.9,seasonal_naive,16.19
A23,2026-12,7548.6,714.6,seasonal_naive,16.19
A24,2026-07,10431.2,873.1,holt_winters,16.52
A24,2026-08,11411.0,957.7,holt_winters,16.52
A24,2026-09,9814.2,818.6,holt_winters,16.52
A24,2026-10,9404.2,779.3,holt_winters,16.52
A24,2026-11,8112.4,665.2,holt_winters,16.52
A24,2026-12,7172.0,582.6,holt_winters,16.52
A41,2026-07,14160.7,1198.8,holt_winters,14.79
A41,2026-08,12625.0,1066.7,holt_winters,14.79
A41,2026-09,12371.0,1046.2,holt_winters,14.79
A41,2026-10,10780.7,909.7,holt_winters,14.79
A41,2026-11,10345.4,873.9,holt_winters,14.79
A41,2026-12,10232.6,866.3,holt_winters,14.79
A44,2026-07,11495.9,982.0,linear_seasonal,16.38
A44,2026-08,12500.4,1069.0,linear_seasonal,16.38
A44,2026-09,13513.1,1158.6,linear_seasonal,16.38
A44,2026-10,10395.0,888.5,linear_seasonal,16.38
A44,2026-11,9705.0,823.7,linear_seasonal,16.38
A44,2026-12,7337.6,616.1,linear_seasonal,16.38
B11,2026-07,10626.6,911.6,linear_seasonal,8.3
B11,2026-08,10666.0,912.1,linear_seasonal,8.3
B11,2026-09,11428.3,978.9,linear_seasonal,8.3
B11,2026-10,10852.9,929.9,linear_seasonal,8.3
B11,2026-11,10563.7,903.5,linear_seasonal,8.3
B11,2026-12,8344.9,709.7,linear_seasonal,8.3
B12,2026-07,6855.5,892.1,holt_winters,38.14
B12,2026-08,7929.2,632.7,holt_winters,38.14
B12,2026-09,7609.7,711.2,holt_winters,38.14
B12,2026-10,6201.1,506.3,holt_winters,38.14
B12,2026-11,4917.0,540.3,holt_winters,38.14
B12,2026-12,4741.4,503.0,holt_winters,38.14
B13,2026-07,9014.5,769.0,linear_seasonal,31.42
B13,2026-08,7843.6,667.9,linear_seasonal,31.42
B13,2026-09,8320.3,709.0,linear_seasonal,31.42
B13,2026-10,8820.4,756.3,linear_seasonal,31.42
B13,2026-11,7305.2,619.6,linear_seasonal,31.42
B13,2026-12,5606.6,473.0,linear_seasonal,31.42
B14,2026-07,7359.6,635.5,holt_winters,25.67
B14,2026-08,6720.1,579.9,holt_winters,25.67
B14,2026-09,6899.5,595.7,holt_winters,25.67
B14,2026-10,5955.7,515.6,holt_winters,25.67
B14,2026-11,4196.4,358.1,holt_winters,25.67
B14,2026-12,3306.5,281.3,holt_winters,25.67
B22,2026-07,4935.5,417.6,holt_winters,17.49
B22,2026-08,4701.8,397.1,holt_winters,17.49
B22,2026-09,4573.0,385.8,holt_winters,17.49
B22,2026-10,4978.1,423.6,holt_winters,17.49
B22,2026-11,4139.5,349.3,holt_winters,17.49
B22,2026-12,4415.2,371.2,holt_winters,17.49
B24,2026-07,14028.9,1219.9,seasonal_naive,13.63
B24,2026-08,10102.8,878.5,seasonal_naive,13.63
B24,2026-09,11117.0,966.7,seasonal_naive,13.63
B24,2026-10,10374.1,902.1,seasonal_naive,13.63
B24,2026-11,7100.1,617.4,seasonal_naive,13.63
B24,2026-12,4556.3,396.2,seasonal_naive,13.63
B31,2026-07,1431.3,124.5,holt_winters,20.24
B31,2026-08,996.0,86.6,holt_winters,20.24
B31,2026-09,1501.1,130.5,holt_winters,20.24
B31,2026-10,1312.8,114.2,holt_winters,20.24
B31,2026-11,2136.3,185.8,holt_winters,20.24
B31,2026-12,1874.2,163.0,holt_winters,20.24
B32,2026-07,11777.9,1006.4,holt_winters,9.19
B32,2026-08,11269.5,961.5,holt_winters,9.19
B32,2026-09,10431.1,888.1,holt_winters,9.19
B32,2026-10,11515.2,985.8,holt_winters,9.19
B32,2026-11,10308.4,874.8,holt_winters,9.19
B32,2026-12,10197.5,865.0,holt_winters,9.19
B33,2026-07,9053.7,771.8,linear_seasonal,19.21
B33,2026-08,7686.0,653.4,linear_seasonal,19.21
B33,2026-09,8881.9,757.1,linear_seasonal,19.21
B33,2026-10,8592.9,734.1,linear_seasonal,19.21
B33,2026-11,6387.8,538.3,linear_seasonal,19.21
B33,2026-12,5078.8,422.4,linear_seasonal,19.21
B34,2026-07,8143.1,708.1,seasonal_naive,10.67
B34,2026-08,6959.8,605.2,seasonal_naive,10.67
B34,2026-09,7679.7,667.8,seasonal_naive,10.67
B34,2026-10,7157.6,622.4,seasonal_naive,10.67
B34,2026-11,5459.1,474.7,seasonal_naive,10.67
B34,2026-12,2111.4,183.6,seasonal_naive,10.67
B41,2026-07,16007.9,1353.2,holt_winters,20.36
B41,2026-08,15094.3,1272.8,holt_winters,20.36
B41,2026-09,16624.4,1406.3,holt_winters,20.36
B41,2026-10,15741.4,1333.6,holt_winters,20.36
B41,2026-11,10302.3,850.6,holt_winters,20.36
B41,2026-12,10555.2,870.1,holt_winters,20.36
B42,2026-07,12450.4,1067.6,linear_seasonal,14.4
B42,2026-08,12377.1,1062.3,linear_seasonal,14.4
B42,2026-09,11831.1,1015.2,linear_seasonal,14.4
B42,2026-10,9459.1,809.3,linear_seasonal,14.4
B42,2026-11,9688.3,824.6,linear_seasonal,14.4
B42,2026-12,7657.0,647.6,linear_seasonal,14.4
B43,2026-07,9109.0,777.6,holt_winters,15.13
B43,2026-08,8173.1,697.4,holt_winters,15.13
B43,2026-09,10198.1,875.1,holt_winters,15.13
B43,2026-10,7863.5,677.6,holt_winters,15.13
B43,2026-11,7620.4,652.3,holt_winters,15.13
B43,2026-12,5157.3,438.0,holt_winters,15.13
B44,2026-07,10647.9,925.9,seasonal_naive,33.03
B44,2026-08,13365.3,1162.2,seasonal_naive,33.03
B44,2026-09,12625.9,1097.9,seasonal_naive,33.03
B44,2026-10,10067.1,875.4,seasonal_naive,33.03
B44,2026-11,12592.5,1095.0,seasonal_naive,33.03
B44,2026-12,6973.6,606.4,seasonal_naive,33.03
C11,2026-07,7466.9,649.3,seasonal_naive,246.82
C11,2026-08,7404.9,643.9,seasonal_naive,246.82
C11,2026-09,8572.1,745.4,seasonal_naive,246.82
C11,2026-10,6776.9,589.3,seasonal_naive,246.82
C11,2026-11,9844.0,856.0,seasonal_naive,246.82
C11,2026-12,5750.0,500.0,seasonal_naive,246.82
C12,2026-07,13423.4,1128.7,holt_winters,23.75
C12,2026-08,14716.7,1239.3,holt_winters,23.75
C12,2026-09,13043.8,1093.4,holt_winters,23.75
C12,2026-10,12263.6,1025.5,holt_winters,23.75
C12,2026-11,10034.1,827.5,holt_winters,23.75
C12,2026-12,9228.2,757.1,holt_winters,23.75
C21,2026-07,8498.7,726.0,linear_seasonal,29.23
C21,2026-08,7582.3,647.8,linear_seasonal,29.23
C21,2026-09,6574.8,559.1,linear_seasonal,29.23
C21,2026-10,6362.6,541.7,linear_seasonal,29.23
C21,2026-11,4233.1,351.0,linear_seasonal,29.23
C21,2026-12,2899.2,234.0,linear_seasonal,29.23
C24,2026-07,9804.9,852.6,seasonal_naive,22.41
C24,2026-08,8359.4,726.9,seasonal_naive,22.41
C24,2026-09,9131.0,794.0,seasonal_naive,22.41
C24,2026-10,7986.8,694.5,seasonal_naive,22.41
C24,2026-11,6456.1,561.4,seasonal_naive,22.41
C24,2026-12,4925.4,428.3,seasonal_naive,22.41
C31,2026-07,5984.4,511.6,linear_seasonal,21.09
C31,2026-08,7801.1,651.6,linear_seasonal,21.09
C31,2026-09,6993.0,619.4,linear_seasonal,21.09
C31,2026-10,4588.7,456.8,linear_seasonal,21.09
C31,2026-11,4176.0,346.8,linear_seasonal,21.09
C31,2026-12,2258.1,210.8,linear_seasonal,21.09
C34,2026-07,7219.4,621.9,linear_seasonal,19.97
C34,2026-08,6873.9,592.3,linear_seasonal,19.97
C34,2026-09,5184.8,443.1,linear_seasonal,19.97
C34,2026-10,4308.5,366.8,linear_seasonal,19.97
C34,2026-11,3821.4,324.1,linear_seasonal,19.97
C34,2026-12,2821.4,235.4,linear_seasonal,19.97
C41,2026-07,15395.0,1312.3,holt_winters,10.43
C41,2026-08,13244.0,1125.5,holt_winters,10.43
C41,2026-09,14357.0,1222.6,holt_winters,10.43
C41,2026-10,13976.6,1189.8,holt_winters,10.43
C41,2026-11,12598.6,1070.3,holt_winters,10.43
C41,2026-12,11828.3,1003.6,holt_winters,10.43
C42,2026-07,11596.1,984.2,holt_winters,26.14
C42,2026-08,9210.8,778.9,holt_winters,26.14
C42,2026-09,9085.5,766.4,holt_winters,26.14
C42,2026-10,10337.4,878.1,holt_winters,26.14
C42,2026-11,9038.9,765.5,holt_winters,26.14
C42,2026-12,7968.6,665.5,holt_winters,26.14
C43,2026-07,10346.5,899.7,seasonal_naive,17.18
C43,2026-08,12379.8,1076.5,seasonal_naive,17.18
C43,2026-09,12766.1,1110.1,seasonal_naive,17.18
C43,2026-10,10861.8,944.5,seasonal_naive,17.18
C43,2026-11,8849.2,769.5,seasonal_naive,17.18
C43,2026-12,3836.4,333.6,seasonal_naive,17.18
C44,2026-07,10068.4,863.6,linear_seasonal,13.68
C44,2026-08,11217.7,965.9,linear_seasonal,13.68
C44,2026-09,10968.9,944.2,linear_seasonal,13.68
C44,2026-10,9960.1,856.6,linear_seasonal,13.68
C44,2026-11,8287.2,703.6,linear_seasonal,13.68
C44,2026-12,7218.0,610.8,linear_seasonal,13.68
D11,2026-07,10828.4,941.6,seasonal_naive,14.45
D11,2026-08,11052.6,961.1,seasonal_naive,14.45
D11,2026-09,10268.4,892.9,seasonal_naive,14.45
D11,2026-10,8303.0,722.0,seasonal_naive,14.45
D11,2026-11,8530.7,741.8,seasonal_naive,14.45
D11,2026-12,5398.1,469.4,seasonal_naive,14.45
D12,2026-07,6670.1,567.1,holt_winters,18.09
D12,2026-08,4726.4,398.9,holt_winters,18.09
D12,2026-09,5786.2,491.3,holt_winters,18.09
D12,2026-10,5344.2,456.6,holt_winters,18.09
D12,2026-11,4958.6,421.0,holt_winters,18.09
D12,2026-12,3012.1,248.4,holt_winters,18.09
D13A,2026-07,0.0,0.0,seasonal_naive,100.0
D13A,2026-08,106473.9,9258.6,seasonal_naive,100.0
D13A,2026-09,3435.1,298.7,seasonal_naive,100.0
D13A,2026-10,6091.6,529.7,seasonal_naive,100.0
D13A,2026-11,6634.4,576.9,seasonal_naive,100.0
D13A,2026-12,2919.8,253.9,seasonal_naive,100.0
D13B,2026-07,-1189.0,-112.8,linear_seasonal,
D13B,2026-08,-834.6,-80.1,linear_seasonal,
D13B,2026-09,-1332.5,-124.6,linear_seasonal,
D13B,2026-10,-1775.9,-163.3,linear_seasonal,
D13B,2026-11,-2375.7,-216.7,linear_seasonal,
D13B,2026-12,-1219.5,-115.8,linear_seasonal,
D15,2026-07,1376.9,117.6,holt_winters,6.17
D15,2026-08,1389.6,118.7,holt_winters,6.17
D15,2026-09,1402.4,119.8,holt_winters,6.17
D15,2026-10,1415.1,120.9,holt_winters,6.17
D15,2026-11,1427.8,122.0,holt_winters,6.17
D15,2026-12,1440.5,123.1,holt_winters,6.17
D21,2026-07,9165.5,790.3,holt_winters,29.39
D21,2026-08,9624.6,830.0,holt_winters,29.39
D21,2026-09,9827.4,847.5,holt_winters,29.39
D21,2026-10,11214.4,977.3,holt_winters,29.39
D21,2026-11,9968.2,863.8,holt_winters,29.39
D21,2026-12,8063.8,694.5,holt_winters,29.39
D23B,2026-07,-3327.3,-305.9,linear_seasonal,
D23B,2026-08,10755.6,973.7,linear_seasonal,
D23B,2026-09,-2240.9,-207.4,linear_seasonal,
D23B,2026-10,-2075.1,-192.6,linear_seasonal,
D23B,2026-11,-2398.3,-221.9,linear_seasonal,
D23B,2026-12,-1516.3,-146.1,linear_seasonal,
D41,2026-07,8976.2,768.7,linear_seasonal,33.76
D41,2026-08,9108.5,782.0,linear_seasonal,33.76
D41,2026-09,7406.7,631.9,linear_seasonal,33.76
D41,2026-10,5884.8,498.1,linear_seasonal,33.76
D41,2026-11,6216.2,525.7,linear_seasonal,33.76
D41,2026-12,3861.5,318.6,linear_seasonal,33.76
